ID,POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,RATEAREA,SFPARKAREA,STREET_NUM,STREETNAME,STREET_SEG,Location
1,324-11041,324-11040,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1104,BATTERY ST,2767000,"(37.801541, -122.401568)"
2,700-02250,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,225,VALENCIA ST,13055000,"(37.769211, -122.422194)"
3,830-05560,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,556,EMBARCADERO NORTH,12556102,"(37.80091, -122.399398)"
4,330-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,330,BRANNAN ST,3075000,"(37.781456, -122.392718)"
5,593-00031,593-00030,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,3,OFARRELL ST,9720000,"(37.786743, -122.405087)"
6,464-03241,464-03240,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,324,HAYES ST,6815000,"(37.777044, -122.422208)"
7,462-18050,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1805,HAIGHT ST,6624000,"(37.769296, -122.452025)"
8,440-08401,440-08400,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,840,GEARY ST,6116000,"(37.786209, -122.417734)"
9,209-04620,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,462,09TH ST,458000,"(37.771378, -122.408779)"
10,440-38180,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,3818,GEARY BLVD,6058201,"(37.781318, -122.460687)"
11,216-31090,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,3109,16TH ST,732000,"(37.764803, -122.422644)"
12,370-01480,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,148,CAPP ST,3673000,"(37.763731, -122.418639)"
13,331-05770,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,577,BRYANT ST,3284000,"(37.779773, -122.397639)"
14,691-18030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1803,UNION ST,12867000,"(37.797844, -122.429065)"
15,525-00513,525-00500,13,Black,MS,Y,N,SFMTA,ON,0,MC5,Downtown,51,KAPLAN LN,7741000,"(37.784889, -122.398806)"
16,563-03220,563-03004,22,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,322,MCALLISTER ST,8893000,"(37.780508, -122.417526)"
17,701-05140,701-05004,14,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,514,VAN NESS AVE,13147202,"(37.780644, -122.4202)"
18,561-00141,561-00140,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,MAIN ST,8627000,"(37.792753, -122.396202)"
19,336-15311,336-15310,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1531,BUSH ST,3445000,"(37.78826, -122.423218)"
20,469-17520,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1752,HOLLOWAY AVE,6998201,"(37.721012, -122.480453)"
21,501-01121,501-01120,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,112,JESSIE ST,7517000,"(37.788219, -122.400689)"
22,331-05190,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,519,BRYANT ST,3283000,"(37.78071, -122.396448)"
23,684-01220,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,122,TOWNSEND ST,12657000,"(37.780088, -122.391342)"
24,445-06071,445-06070,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,607,GREEN ST,6454000,"(37.799416, -122.409338)"
25,490-00110,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,11,IRVING ST,7278000,"(37.764348, -122.457817)"
26,422-08560,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,856,FRONT ST,5874000,"(37.799591, -122.39998)"
27,612-17320,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1732,POLK ST,10572000,"(37.793013, -122.421102)"
28,687-00630,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,63,TAPIA DR,12375000,"(37.721631, -122.480578)"
29,666-24120,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2412,SUTTER ST,12343000,"(37.785237, -122.440382)"
30,202-05460,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,546,02ND ST,144000,"(37.782545, -122.3931)"
31,204-03200,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,South Embarcadero,320,04TH ST,256000,"(37.781605, -122.400792)"
32,204-03220,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,South Embarcadero,322,04TH ST,256000,"(37.781592, -122.400775)"
33,328-01290,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,Downtown,129,BEALE ST,2864000,"(37.790628, -122.395002)"
34,684-03951,684-03950,1,Black,MS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,395,TOWNSEND ST,12663000,"(37.775306, -122.397049)"
35,330-05380,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,538,BRANNAN ST,3080000,"(37.777646, -122.397544)"
36,563-03260,563-03004,26,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,326,MCALLISTER ST,8893000,"(37.780505, -122.417548)"
37,864-04190,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,419,SPEAR ST,12048000,"(37.788488, -122.38886)"
38,606-15341,606-15340,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1534,PINE ST,10477000,"(37.789566, -122.421455)"
39,462-05231,462-05230,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,523,HAIGHT ST,6608000,"(37.771944, -122.431239)"
40,724-02340,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,234,WILLOW ST,13664000,"(37.783244, -122.422061)"
41,472-00601,472-00600,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,60,HYDE ST,7114000,"(37.781079, -122.415309)"
42,590-00660,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Civic Center,66,OAK ST,9750000,"(37.775314, -122.420827)"
43,612-21341,612-21340,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,2134,POLK ST,10576000,"(37.796739, -122.42185)"
44,651-05021,651-05020,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,502,SANSOME ST,11549000,"(37.794956, -122.401441)"
45,720-03271,720-03270,1,Black,MS,Y,N,SFMTA,ON,0,MC5,Downtown,327,WASHINGTON ST,13405000,"(37.795906, -122.399847)"
46,691-15150,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1515,UNION ST,12864000,"(37.798407, -122.424638)"
47,469-17440,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1744,HOLLOWAY AVE,6998201,"(37.72101, -122.480409)"
48,463-00371,463-00370,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,37,HAWTHORNE ST,6809000,"(37.784992, -122.398144)"
49,203-06030,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,603,03RD ST,179000,"(37.780052, -122.394103)"
50,568-02151,568-02150,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,215,MISSION ST,9085000,"(37.791558, -122.395159)"
51,500-17030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1703,JACKSON ST,7397000,"(37.79385, -122.423294)"
52,104-02980,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,298,04TH AVE,240000,"(37.783167, -122.462221)"
53,324-09341,324-09341,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,934,BATTERY ST,2764000,"(37.800286, -122.401315)"
54,612-03020,612-03002,2,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,302,POLK ST,10549000,"(37.779465, -122.418301)"
55,701-05200,701-05004,20,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,520,VAN NESS AVE,13147202,"(37.780681, -122.420208)"
56,490-10190,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1019,IRVING ST,7288000,"(37.763852, -122.468824)"
57,422-02021,422-02020,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,202,FRONT ST,5869000,"(37.793502, -122.398732)"
58,202-00031,202-00030,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,3,02ND ST,129000,"(37.789199, -122.401166)"
59,700-02230,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,223,VALENCIA ST,13055000,"(37.769233, -122.422195)"
60,857-17150,857-17001,15,Black,MS,N,N,PORT,ON,0,PortMC1, ,1715,MONTGOMERY ST,9321000,"(37.804896, -122.405258)"
61,440-28030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2803,GEARY BLVD,6047102,"(37.782097, -122.449165)"
62,857-17110,857-17001,11,Black,MS,N,N,PORT,ON,0,PortMC1, ,1711,MONTGOMERY ST,9321000,"(37.804925, -122.405264)"
63,691-22530,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2253,UNION ST,12872000,"(37.79684, -122.436961)"
64,350-14470,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1447,CALIFORNIA ST,3547000,"(37.790719, -122.418895)"
65,687-00590,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,59,TAPIA DR,12375000,"(37.72165, -122.480577)"
66,600-03161,600-03160,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,316,PACIFIC AVE,10119000,"(37.797628, -122.401433)"
67,600-03181,600-03180,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,318,PACIFIC AVE,10119000,"(37.797618, -122.401511)"
68,612-12281,612-12280,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1228,POLK ST,10566000,"(37.788296, -122.420147)"
69,472-00541,472-00540,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,54,HYDE ST,7114000,"(37.780929, -122.415279)"
70,324-05051,324-05050,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,505,BATTERY ST,2760000,"(37.796062, -122.400613)"
71,611-03730,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,373,PARNASSUS AVE,10293000,"(37.763594, -122.457191)"
72,462-05131,462-05130,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,513,HAIGHT ST,6608000,"(37.771989, -122.43088)"
73,440-28070,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2807,GEARY BLVD,6047102,"(37.782093, -122.449188)"
74,568-17441,568-17440,1,Black,MS,Y,N,SFMTA,ON,0,MC3, ,1744,MISSION ST,9113000,"(37.768755, -122.420116)"
75,216-31380,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,3138,16TH ST,733000,"(37.764917, -122.423027)"
76,340-00145,340-00140,5,Black,MS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,14,BLUXOME ST,2993000,"(37.777406, -122.396239)"
77,720-03279,720-03270,9,Black,MS,Y,N,SFMTA,ON,0,MC5,Downtown,327,WASHINGTON ST,13405000,"(37.795894, -122.399944)"
78,658-00541,658-00540,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,54,SPEAR ST,12044000,"(37.793023, -122.394795)"
79,463-00411,463-00410,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,41,HAWTHORNE ST,6809000,"(37.784871, -122.397991)"
80,470-06321,470-06320,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,632,HOWARD ST,7035000,"(37.786385, -122.398889)"
81,651-00146,651-00140,6,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,14,SANSOME ST,11542000,"(37.7907, -122.400569)"
82,324-11061,324-11060,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1106,BATTERY ST,2767000,"(37.801601, -122.401579)"
83,612-18200,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1820,POLK ST,10573000,"(37.793765, -122.421249)"
84,400-02440,-,0,Black,SS,N,N,SFMTA,ON,0,MC2, ,244,EDDY ST,5060000,"(37.784022, -122.412429)"
85,211-00051,211-00050,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,5,11TH ST,508000,"(37.775453, -122.41838)"
86,612-03440,612-03006,44,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,344,POLK ST,10549000,"(37.780022, -122.418414)"
87,500-15331,500-15330,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1533,JACKSON ST,7395000,"(37.794166, -122.420809)"
88,500-16190,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1619,JACKSON ST,7396000,"(37.794, -122.422113)"
89,500-16210,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1621,JACKSON ST,7396000,"(37.793997, -122.422134)"
90,701-18040,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1804,VAN NESS AVE,13160201,"(37.792419, -122.422582)"
91,691-19100,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1910,UNION ST,12868000,"(37.797718, -122.431032)"
92,423-01300,423-01004,30,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,130,FULTON ST,5881000,"(37.779863, -122.415648)"
93,819-00200,819-00002,20,Black,MS,N,N,PORT,ON,0,PortMC1, ,20,BROADWAY,3142000,"(37.798978, -122.398567)"
94,681-07161,681-07160,1,Black,MS,N,N,SFMTA,ON,0,MC1, ,716,TAYLOR ST,12437000,"(37.78934, -122.411931)"
95,500-17010,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1701,JACKSON ST,7397000,"(37.793852, -122.423275)"
96,224-30150,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,3015,24TH ST,1337000,"(37.752536, -122.412528)"
97,208-06650,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,665,08TH ST,417000,"(37.770213, -122.403984)"
98,612-03140,612-03002,14,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,314,POLK ST,10549000,"(37.77952, -122.418312)"
99,600-05031,600-05030,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,503,PACIFIC AVE,10122000,"(37.797238, -122.403841)"
100,462-14240,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1424,HAIGHT ST,6618000,"(37.770169, -122.446153)"
101,462-15030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1503,HAIGHT ST,6619000,"(37.769919, -122.44714)"
102,700-05530,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,553,VALENCIA ST,13060000,"(37.763615, -122.421653)"
103,423-01320,423-01004,32,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,132,FULTON ST,5881000,"(37.77986, -122.415673)"
104,442-04031,442-04030,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,403,GOLDEN GATE AVE,6264000,"(37.781354, -122.417373)"
105,596-00385,596-00380,5,Black,MS,N,N,SFMTA,ON,0,MC3, ,38,OTIS ST,10046000,"(37.772449, -122.419641)"
106,202-05500,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,550,02ND ST,144000,"(37.782529, -122.39308)"
107,830-05580,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,558,EMBARCADERO NORTH,12556102,"(37.800921, -122.399407)"
108,857-17050,857-17001,5,Black,MS,N,N,PORT,ON,0,PortMC1, ,1705,MONTGOMERY ST,9321000,"(37.804962, -122.405271)"
109,462-15300,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1530,HAIGHT ST,6619000,"(37.769948, -122.447886)"
110,562-01221,562-01220,1,Black,MS,N,N,SFMTA,ON,0,MC1, ,122,MASON ST,8800000,"(37.784972, -122.409368)"
111,841-00380,841-00002,38,Black,MS,N,N,PORT,ON,0,PortMC1, ,38,GREEN ST,6438001,"(37.800686, -122.400138)"
112,209-04540,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,454,09TH ST,458000,"(37.771412, -122.408822)"
113,612-11041,612-11040,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1104,POLK ST,10563000,"(37.786983, -122.41988)"
114,841-00340,841-00002,34,Black,MS,N,N,PORT,ON,0,PortMC1, ,34,GREEN ST,6438001,"(37.80069, -122.400106)"
115,355-17040,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1704,CHURCH ST,4037000,"(37.743565, -122.426749)"
116,819-00180,819-00002,18,Black,MS,N,N,PORT,ON,0,PortMC1, ,18,BROADWAY,3142000,"(37.798981, -122.398548)"
117,563-03120,563-03002,12,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,312,MCALLISTER ST,8893000,"(37.780516, -122.417467)"
118,687-00550,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,55,TAPIA DR,12375000,"(37.721667, -122.480576)"
119,501-01101,501-01100,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,110,JESSIE ST,7517000,"(37.788261, -122.400637)"
120,561-02171,561-02170,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,217,MAIN ST,8629000,"(37.79051, -122.393138)"
121,224-30130,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,3013,24TH ST,1337000,"(37.752537, -122.412512)"
122,359-05341,359-05340,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,534,CLAY ST,4085000,"(37.794807, -122.402643)"
123,568-45140,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,4514,MISSION ST,9162000,"(37.725494, -122.434303)"
124,331-05790,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,579,BRYANT ST,3284000,"(37.779763, -122.397651)"
125,666-24060,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2406,SUTTER ST,12343000,"(37.785242, -122.440337)"
126,859-00460,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,46,NORTH POINT ST,9686000,"(37.807332, -122.408106)"
127,386-02071,386-02070,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,207,DRUMM ST,4972000,"(37.795726, -122.396932)"
128,561-02081,561-02080,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,208,MAIN ST,8629000,"(37.790317, -122.393153)"
129,420-02370,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,Downtown,237,FREMONT ST,5863000,"(37.788648, -122.394268)"
130,205-01321,205-01320,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,132,05TH ST,294000,"(37.781967, -122.405647)"
131,501-01141,501-01140,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,114,JESSIE ST,7517000,"(37.788173, -122.400748)"
132,418-01060,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,South Embarcadero,106,FOLSOM ST,5651000,"(37.790036, -122.391166)"
133,561-00161,561-00160,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,16,MAIN ST,8627000,"(37.792681, -122.396111)"
134,440-28090,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2809,GEARY BLVD,6047102,"(37.782092, -122.449202)"
135,902-00610,-,0,Black,SS,Y,N,SFMTA,OFF,902,MC5,Fillmore,2450,CALIFORNIA ST,3558000,"(37.789205, -122.435045)"
136,331-05810,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,581,BRYANT ST,3284000,"(37.779753, -122.397664)"
137,650-36180,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,3618,SACRAMENTO ST,11268000,"(37.787532, -122.452546)"
138,663-33360,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Marina,3336,STEINER ST,12156000,"(37.800521, -122.437804)"
139,568-02211,568-02210,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,221,MISSION ST,9085000,"(37.791496, -122.395236)"
140,568-02331,568-02330,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,233,MISSION ST,9085000,"(37.791374, -122.395389)"
141,202-02141,202-02140,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,214,02ND ST,135000,"(37.786407, -122.397914)"
142,501-01201,501-01200,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,120,JESSIE ST,7517000,"(37.788066, -122.400884)"
143,418-01080,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,South Embarcadero,108,FOLSOM ST,5651000,"(37.790027, -122.391178)"
144,691-15130,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1513,UNION ST,12864000,"(37.79841, -122.424613)"
145,561-00371,561-00370,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,37,MAIN ST,8627000,"(37.792601, -122.395755)"
146,400-01441,400-01440,1,Black,MS,N,N,SFMTA,ON,0,MC1, ,144,EDDY ST,5059000,"(37.784227, -122.410781)"
147,420-00621,420-00620,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,62,FREMONT ST,5860000,"(37.790546, -122.396926)"
148,205-01461,205-01460,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,146,05TH ST,295000,"(37.781821, -122.405491)"
149,202-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,330,02ND ST,139000,"(37.784794, -122.395918)"
150,684-01760,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,176,TOWNSEND ST,12657000,"(37.779412, -122.392197)"
151,561-02101,561-02100,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,210,MAIN ST,8629000,"(37.790264, -122.393087)"
152,859-00440,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,44,NORTH POINT ST,9686000,"(37.807334, -122.408092)"
153,462-15280,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1528,HAIGHT ST,6619000,"(37.76995, -122.44787)"
154,568-25250,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,2525,MISSION ST,9123000,"(37.756217, -122.41873)"
155,651-00111,651-00110,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,11,SANSOME ST,11542000,"(37.790803, -122.400749)"
156,209-04640,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,464,09TH ST,458000,"(37.771372, -122.408772)"
157,216-31150,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,3115,16TH ST,732000,"(37.764801, -122.422673)"
158,724-00310,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,31,WILLOW ST,13662000,"(37.783637, -122.418516)"
159,440-05180,-,0,Black,SS,N,N,SFMTA,ON,0,MC2, ,518,GEARY ST,6112000,"(37.78691, -122.412259)"
160,691-22270,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,2227,UNION ST,12872000,"(37.796913, -122.436385)"
161,502-06261,502-06260,1,Black,MS,N,N,SFMTA,ON,0,MC2, ,626,JONES ST,7572000,"(37.787447, -122.413229)"
162,612-03040,612-03002,4,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,304,POLK ST,10549000,"(37.779476, -122.418303)"
163,331-05830,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,South Embarcadero,583,BRYANT ST,3284000,"(37.779744, -122.397676)"
164,359-05401,359-05400,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,540,CLAY ST,4085000,"(37.794768, -122.402954)"
165,202-00131,202-00130,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,13,02ND ST,129000,"(37.789044, -122.40097)"
166,651-00208,651-00200,8,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,20,SANSOME ST,11542000,"(37.790936, -122.400618)"
167,561-00011,561-00010,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,1,MAIN ST,8627000,"(37.792971, -122.39622)"
168,216-31170,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Mission,3117,16TH ST,732000,"(37.7648, -122.422682)"
169,462-14230,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1423,HAIGHT ST,6618000,"(37.770044, -122.446163)"
170,462-18060,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1806,HAIGHT ST,6624000,"(37.769419, -122.452039)"
171,355-02330,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,233,CHURCH ST,4010000,"(37.766466, -122.428743)"
172,469-17540,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1754,HOLLOWAY AVE,6998201,"(37.721012, -122.480462)"
173,687-00670,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,67,TAPIA DR,12375000,"(37.721612, -122.480579)"
174,720-05241,720-05240,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,524,WASHINGTON ST,13408000,"(37.795672, -122.402631)"
175,568-02451,568-02450,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,245,MISSION ST,9085000,"(37.791237, -122.39556)"
176,328-01300,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,Downtown,130,BEALE ST,2864000,"(37.790519, -122.395171)"
177,691-17120,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1712,UNION ST,12866000,"(37.79814, -122.427715)"
178,857-17090,857-17001,9,Black,MS,N,N,PORT,ON,0,PortMC1, ,1709,MONTGOMERY ST,9321000,"(37.804905, -122.40526)"
179,462-15050,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1505,HAIGHT ST,6619000,"(37.769917, -122.447159)"
180,462-18030,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1803,HAIGHT ST,6624000,"(37.769298, -122.452009)"
181,568-16601,568-16600,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1660,MISSION ST,9110000,"(37.771422, -122.419576)"
182,469-17500,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1750,HOLLOWAY AVE,6998201,"(37.721012, -122.480442)"
183,401-07290,401-07001,29,Black,MS,N,N,SFMTA,ON,0,MC3, ,729,ELLIS ST,5178000,"(37.784063, -122.418664)"
184,324-11021,324-11020,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1102,BATTERY ST,2767000,"(37.801485, -122.401557)"
185,590-00620,-,0,Black,SS,Y,N,SFMTA,ON,0,MC5,Civic Center,62,OAK ST,9750000,"(37.775318, -122.420794)"
186,847-05120,-,0,Black,SS,Y,N,PORT,ON,0,PortMC1, ,512,JEFFERSON ST,7460000,"(37.807629, -122.420953)"
187,359-05161,359-05160,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,516,CLAY ST,4084000,"(37.794857, -122.402127)"
188,386-02051,386-02050,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,205,DRUMM ST,4972000,"(37.795654, -122.396917)"
189,720-05251,720-05250,1,Black,MS,N,N,SFMTA,ON,0,MC5,Downtown,525,WASHINGTON ST,13408000,"(37.79554, -122.402656)"
190,612-03080,612-03002,8,Black,MS,Y,N,SFMTA,ON,0,MC5,Civic Center,308,POLK ST,10549000,"(37.779493, -122.418307)"
191,611-03710,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,371,PARNASSUS AVE,10293000,"(37.763596, -122.457183)"
192,857-17030,857-17001,3,Black,MS,N,N,PORT,ON,0,PortMC1, ,1703,MONTGOMERY ST,9321000,"(37.804953, -122.405269)"
193,324-10261,324-10260,1,Black,MS,N,N,SFMTA,ON,0,MC3, ,1026,BATTERY ST,2766000,"(37.801174, -122.401492)"
194,691-19080,-,0,Black,SS,N,N,SFMTA,ON,0,MC3, ,1908,UNION ST,12868000,"(37.797721, -122.43101)"
195,472-00561,472-00560,1,Black,MS,N,N,SFMTA,ON,0,MC5,Civic Center,56,HYDE ST,7114000,"(37.781002, -122.415294)"
196,328-01330,-,0,Black,SS,N,N,SFMTA,ON,0,MC5,Downtown,133,BEALE ST,2864000,"(37.790607, -122.394976)"
